[2016-03-13 21:27:02.186] log4j - 17604  INFO [restartedMain] --- Application: Starting Application on DESKTOP-UQDOSCM with PID 17604 (D:\Documents\OneDrive\Documents\project\IntellijPro\blog\target\classes started by lenovo in D:\Documents\OneDrive\Documents\project\IntellijPro\blog)
[2016-03-13 22:05:02.246] log4j - 15988  INFO [restartedMain] --- SimpleUrlHandlerMapping: Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
[2016-03-13 22:05:02.367] log4j - 15988  INFO [restartedMain] --- SimpleUrlHandlerMapping: Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
[2016-03-13 22:05:02.965] log4j - 15988  INFO [restartedMain] --- VelocityConfigurer: ClasspathResourceLoader with name 'springMacro' added to configured VelocityEngine
[2016-03-13 22:05:03.367] log4j - 15988  INFO [restartedMain] --- OptionalLiveReloadServer: LiveReload server is running on port 35729
[2016-03-13 22:05:03.662] log4j - 15988  INFO [restartedMain] --- AnnotationMBeanExporter: Registering beans for JMX exposure on startup
[2016-03-13 22:05:03.920] log4j - 15988  INFO [restartedMain] --- TomcatEmbeddedServletContainer: Tomcat started on port(s): 8080 (http)
[2016-03-13 22:05:03.937] log4j - 15988  INFO [restartedMain] --- Application: Started Application in 16.456 seconds (JVM running for 17.79)
[2016-03-13 22:05:07.961] log4j - 15988  INFO [http-nio-8080-exec-1] --- [/]: Initializing Spring FrameworkServlet 'dispatcherServlet'
[2016-03-13 22:05:07.961] log4j - 15988  INFO [http-nio-8080-exec-1] --- DispatcherServlet: FrameworkServlet 'dispatcherServlet': initialization started
[2016-03-13 22:05:07.987] log4j - 15988  INFO [http-nio-8080-exec-1] --- DispatcherServlet: FrameworkServlet 'dispatcherServlet': initialization completed in 25 ms
